cell,form,psi_child,kappa_fert,gamma_e,CF,childless,joint_distance,own_family_gap,share_3plus,pp12_flow,pp23_flow,mean_age_first_birth,market_residual
96,sqrt,2.7233,6.0,0.0,2.142166768484191,0.009785655407056471,0.9122664556440092,0.13020332258024409,0.3536737834707115,0.6632999519288122,0.5384727000701596,22.330881074776165,1.2451871092942383e-05
97,sqrt,2.7233,10.0,0.0,1.967557002485611,0.02370823399410846,0.7643554731488272,0.1116575288752536,0.28185707819945566,0.6111547263799203,0.4723872258692559,23.353369188494373,1.531456057942064e-05
98,sqrt,2.7233,15.9109,0.0,1.8420500034096907,0.038557136219536145,0.6334481238840174,0.10022140171456334,0.23628606190674425,0.5718557730621987,0.429762100506054,24.038814112243106,8.258949893018217e-06
99,linear_g05,-0.5,0.5,0.5,0.12088588181533863,0.8822875760821332,14.516307803851968,0.1293298085403477,5.4524131454368585e-05,0.02631093651312254,0.01760476157585078,34.967313558220596,5.998181248771244e-07
100,linear_g05,-0.5,1.0,0.5,0.5359509996698889,0.5385204785404464,3.9954686564142925,0.09041097809734178,0.0065197304110011485,0.14159643625651963,0.0997757224831969,30.724417394639225,3.5175679293296174e-06
101,linear_g05,-0.5,1.8,0.5,0.944829494775617,0.2982411773202822,0.6012950945346933,0.07913551326999768,0.03655526809701429,0.2734462187168221,0.19049789020946567,28.46409744498524,8.734329857493502e-06
102,linear_g05,-0.5,3.0,0.5,1.1977040225019027,0.19302644978893937,0.1417491453768455,0.07797695951585448,0.07248597809072285,0.3584381456846702,0.25059966231918196,27.231622423130105,1.394965128886501e-05
103,linear_g05,-0.5,6.0,0.5,1.3937034125392076,0.13050174046000626,0.16826265020927525,0.0778962110462087,0.1107701636077665,0.4245286519862086,0.300086925205999,26.2865247256431,1.4259396144889878e-05
104,linear_g05,-0.5,10.0,0.5,1.470752293228555,0.10995627900632317,0.2267047126912887,0.07859470704015425,0.12846178739318082,0.45038469544270193,0.3204638123513201,25.91026089303121,1.584314173394908e-05
105,linear_g05,-0.5,15.9109,0.5,1.5129334005896529,0.09960691919465173,0.26566757147949593,0.07889323635718426,0.13880007160126673,0.4644862657271051,0.331882737386024,25.702217193342925,1.4805389134009149e-05
106,linear_g05,0.0,0.5,0.5,1.0824433077357711,0.23616671728336347,0.25542331881569696,0.11397905279781084,0.05471210320570353,0.3168401877920844,0.22607085205501376,28.109546498503487,1.0560274992803889e-05
107,linear_g05,0.0,1.0,0.5,1.3309080314521253,0.14808708493851996,0.13876716360101976,0.09691103815540447,0.09761620150877323,0.4018397042397933,0.28515031486704684,26.742908692176023,5.923455370597065e-06
108,linear_g05,0.0,1.8,0.5,1.4440913872935264,0.11636247025150274,0.206250518174954,0.08953879463078607,0.12222779824683928,0.4406048031995006,0.31393996661747653,26.12198698958695,1.0733785138466547e-05
109,linear_g05,0.0,3.0,0.5,1.500160976942845,0.10239863452888953,0.2547813826197748,0.0856330472704433,0.1356503667820371,0.4597242322907772,0.3287305541808095,25.812698408028528,1.6247256254284653e-05
110,linear_g05,0.0,6.0,0.5,1.5417126873296174,0.09276136149898599,0.295121382293755,0.08259799099738918,0.1461356408727435,0.4738380109840857,0.33994191266028667,25.58239011745015,1.6215298653284594e-05
111,linear_g05,0.0,10.0,0.5,1.5581778897328662,0.08910549431364184,0.3119072041617679,0.08136592301551038,0.1504189887163158,0.47941534083942133,0.344447196957138,25.490821657137822,3.526735476522567e-06
112,linear_g05,0.0,15.9109,0.5,1.5673099596050917,0.08711706453560054,0.32138277284612404,0.08070217167900395,0.15282632402336774,0.48250455027832645,0.3469618018427714,25.439952762760356,9.848646040885233e-06
113,linear_g05,0.5,0.5,0.5,2.2979957880866992,0.0031597234690801342,1.0059202678736323,0.18770548399680342,0.42723507293871843,0.7052548192917983,0.6077084254788301,21.565311578994784,1.1783683722535066e-05
114,linear_g05,0.5,1.0,0.5,2.0563945828185117,0.015629427672873217,0.8458474045263411,0.13277790514377236,0.31761792449063786,0.6373198616078549,0.5062778511110265,22.978938569705498,1.9987262400151355e-05
115,linear_g05,0.5,1.8,0.5,1.8794972481789727,0.03350484058026791,0.6757298919886128,0.10644292528171062,0.2495849501828458,0.5831205180912914,0.4428538117358151,23.920029558812356,4.6864247732721045e-07
116,linear_g05,0.5,3.0,0.5,1.7707010460739503,0.048799304743464125,0.5541334087984843,0.0966495252145535,0.21261118837536774,0.5486168051004372,0.4074223489469758,24.464564549226207,2.4244189219551395e-05
117,linear_g05,0.5,6.0,0.5,1.6801742560830568,0.0642478221865723,0.4486765014563455,0.08791491011703723,0.1845357530007342,0.5194452513093194,0.37964693391476184,24.90030262810722,1.4648070223284745e-05
118,linear_g05,0.5,10.0,0.5,1.641964602036114,0.07154940681096826,0.404391211142111,0.0844876684302619,0.17339660083504202,0.5070369617218994,0.36833429942377355,25.079962741059024,1.8060530124033958e-05
119,linear_g05,0.5,15.9109,0.5,1.6202079154971076,0.07592074424282441,0.379520421225931,0.08265113636402754,0.16723891608964217,0.4999508145452441,0.3619935579816262,25.181218567463937,1.2898517914502701e-05
120,linear_g05,1.0,0.5,0.5,2.521864589791557,0.00012528949937447734,1.0977922852526125,0.20229141068077722,0.5453418464428614,0.7586063399814599,0.7189633817153116,19.697640909485607,1.5120426584029794e-05
121,linear_g05,1.0,1.0,0.5,2.3637324426776787,0.001593974737407208,1.0371218615619024,0.16350900970971777,0.459879221217725,0.7226473884786736,0.6373972055166757,20.976473032679817,1.3250927077522042e-05
122,linear_g05,1.0,1.8,0.5,2.1624374107111737,0.00861214167886068,0.9267219092366067,0.12913048682713368,0.36286451301020434,0.6687990258848882,0.5472745708570879,22.270964745403212,1.1774414362609735e-05
123,linear_g05,1.0,3.0,0.5,1.9860258227723118,0.021817396168255388,0.7826255509402977,0.10710874576631774,0.28908275303913145,0.6165795242328693,0.47930631121236017,23.292927004192258,2.0728860928380407e-05
124,linear_g05,1.0,6.0,0.5,1.8057464939915406,0.043598768652748705,0.5933901237867176,0.09087242624591091,0.2240346784558584,0.5601171294157044,0.41821178440390533,24.254669080001396,0.00012133537443280833
125,linear_g05,1.0,10.0,0.5,1.721358096564471,0.05699453966858292,0.4960938417336859,0.0876311182212276,0.19697054844196132,0.5329702625253923,0.39190798101359803,24.68083100204317,3.3898445015120836e-06
