f_c_y,control,K,rows
1996,0,-6,9
1996,0,-5,11
1996,0,-4,14
1996,0,-3,23
1996,0,-2,28
1996,0,-1,29
1996,0,0,37
1996,0,1,38
1996,0,3,40
1996,0,5,39
1996,0,7,43
1996,0,9,42
1996,0,11,43
1996,0,13,46
1996,0,15,46
1996,0,17,42
1996,0,19,37
1996,0,21,41
1996,0,23,39
1997,0,-19,1
1997,0,-18,1
1997,0,-17,2
1997,0,-16,4
1997,0,-12,4
1997,0,-11,5
1997,0,-10,5
1997,0,-9,5
1997,0,-8,6
1997,0,-7,11
1997,0,-6,12
1997,0,-5,17
1997,0,-4,17
1997,0,-3,19
1997,0,-2,23
1997,0,-1,28
1997,0,0,43
1997,0,2,50
1997,0,4,60
1997,0,6,60
1997,0,8,70
1997,0,10,63
1997,0,12,63
1997,0,14,58
1997,0,16,58
1997,0,18,51
1997,0,20,56
1997,0,22,48
1998,0,-11,1
1998,0,-10,3
1998,0,-9,2
1998,0,-8,3
1998,0,-7,6
1998,0,-6,5
1998,0,-5,10
1998,0,-4,14
1998,0,-3,17
1998,0,-2,20
1998,0,-1,27
1998,0,1,37
1998,0,3,38
1998,0,5,42
1998,0,7,44
1998,0,9,38
1998,0,11,36
1998,0,13,35
1998,0,15,30
1998,0,17,30
1998,0,19,32
1998,0,21,33
1999,0,-14,2
1999,0,-13,1
1999,0,-12,1
1999,0,-11,3
1999,0,-10,2
1999,0,-9,3
1999,0,-8,5
1999,0,-7,4
1999,0,-6,8
1999,0,-5,10
1999,0,-4,12
1999,0,-3,12
1999,0,-2,20
1999,0,0,46
1999,0,2,58
1999,0,4,62
1999,0,6,63
1999,0,8,64
1999,0,10,61
1999,0,12,57
1999,0,14,59
1999,0,16,54
1999,0,18,56
1999,0,20,48
2000,0,-15,3
2000,0,-13,3
2000,0,-12,5
2000,0,-11,6
2000,0,-10,7
2000,0,-9,7
2000,0,-8,8
2000,0,-7,11
2000,0,-6,13
2000,0,-5,15
2000,0,-4,20
2000,0,-3,22
2000,0,-1,40
2000,0,1,44
2000,0,3,53
2000,0,5,52
2000,0,7,57
2000,0,9,62
2000,0,11,60
2000,0,13,53
2000,0,15,54
2000,0,17,55
2000,0,19,51
2001,0,-16,1
2001,0,-15,1
2001,0,-11,2
2001,0,-10,1
2001,0,-9,2
2001,0,-8,5
2001,0,-7,8
2001,0,-6,10
2001,0,-5,15
2001,0,-4,21
2001,0,-2,32
2001,0,0,47
2001,0,2,51
2001,0,4,59
2001,0,6,60
2001,0,8,57
2001,0,10,54
2001,0,12,55
2001,0,14,52
2001,0,16,55
2001,0,18,51
2002,0,-17,1
2002,0,-16,1
2002,0,-15,1
2002,0,-14,1
2002,0,-13,1
2002,0,-12,2
2002,0,-11,2
2002,0,-10,2
2002,0,-9,6
2002,0,-8,7
2002,0,-7,8
2002,0,-6,13
2002,0,-5,13
2002,0,-3,21
2002,0,-1,35
2002,0,1,50
2002,0,3,57
2002,0,5,59
2002,0,7,62
2002,0,9,60
2002,0,11,57
2002,0,13,54
2002,0,15,49
2002,0,17,46
2003,0,-17,1
2003,0,-16,1
2003,0,-15,2
2003,0,-14,3
2003,0,-13,3
2003,0,-12,4
2003,0,-11,5
2003,0,-10,7
2003,0,-9,8
2003,0,-8,9
2003,0,-7,10
2003,0,-6,9
2003,0,-4,17
2003,0,-2,31
2003,0,0,39
2003,0,2,43
2003,0,4,55
2003,0,6,56
2003,0,8,57
2003,0,10,51
2003,0,12,49
2003,0,14,56
2003,0,16,59
2004,0,-17,1
2004,0,-15,1
2004,0,-14,2
2004,0,-13,2
2004,0,-12,2
2004,0,-11,5
2004,0,-10,8
2004,0,-9,8
2004,0,-8,9
2004,0,-7,13
2004,0,-5,17
2004,0,-3,31
2004,0,-1,51
2004,0,1,60
2004,0,3,72
2004,0,5,72
2004,0,7,73
2004,0,9,73
2004,0,11,70
2004,0,13,68
2004,0,15,64
2005,0,-13,2
2005,0,-12,4
2005,0,-11,8
2005,0,-10,7
2005,0,-9,8
2005,0,-8,14
2005,0,-6,21
2005,0,-4,32
2005,0,-2,48
2005,0,0,67
2005,0,2,71
2005,0,4,78
2005,0,6,79
2005,0,8,73
2005,0,10,63
2005,0,12,65
2005,0,14,62
2006,0,-15,1
2006,0,-14,1
2006,0,-13,1
2006,0,-12,1
2006,0,-11,3
2006,0,-10,3
2006,0,-9,6
2006,0,-7,8
2006,0,-5,17
2006,0,-3,29
2006,0,-1,41
2006,0,1,53
2006,0,3,55
2006,0,5,52
2006,0,7,55
2006,0,9,54
2006,0,11,59
2006,0,13,56
