rep,exact_builder_sample__ratio_p90_p50,exact_builder_sample__ratio_p50,exact_builder_sample__ratio_p90,exact_builder_sample__wealth_p90_p50,exact_builder_sample__wealth_p50,exact_builder_sample__wealth_p90,no_children_history_filter__ratio_p90_p50,no_children_history_filter__ratio_p50,no_children_history_filter__ratio_p90,no_children_history_filter__wealth_p90_p50,no_children_history_filter__wealth_p50,no_children_history_filter__wealth_p90
37,3.21927995107368,7.95717540501489,25.616375248541,4.97816593886463,295433.400192119,1470716.49003937,3.21927995107368,7.95717540501489,25.616375248541,4.97816593886463,295433.400192119,1470716.49003937
38,3.31486608836551,7.50908240923532,24.8916026331161,4.52717715276649,254545.874755265,1152374.268523,3.31486608836551,7.50908240923532,24.8916026331161,4.52717715276649,254545.874755265,1152374.268523
39,3.411385553185,7.50908240923532,25.616375248541,5.10140427730458,243685.968135178,1243140.6401639,3.411385553185,7.50908240923532,25.616375248541,5.10140427730458,243685.968135178,1243140.6401639
40,3.25830924855491,7.2689962941498,23.6846378529397,4.36696288552013,263884.603266039,1152374.268523,3.25830924855491,7.2689962941498,23.6846378529397,4.36696288552013,263884.603266039,1152374.268523
41,3.13721210114712,7.54958131274561,23.6846378529397,4.44232602478551,289404.023864167,1285627.02688943,3.13721210114712,7.54958131274561,23.6846378529397,4.44232602478551,289404.023864167,1285627.02688943
42,3.45102650418547,7.3659936959381,25.4202394743455,4.00551546391753,278088.693048379,1113888.5603459,3.45102650418547,7.3659936959381,25.4202394743455,4.00551546391753,278088.693048379,1113888.5603459
43,3.22182665157149,6.77941651389654,21.8421048065757,4.52717715276649,254545.874755265,1152374.268523,3.22182665157149,6.77941651389654,21.8421048065757,4.52717715276649,254545.874755265,1152374.268523
44,4.04701986754967,6.99557056644986,28.3112130672683,5.64409826243259,230226.55663932,1299421.30829383,4.04701986754967,6.99557056644986,28.3112130672683,5.64409826243259,230226.55663932,1299421.30829383
45,3.21243446213677,6.84413703889377,21.9863416873291,5.17952165305558,243685.968135178,1262176.74850197,3.21243446213677,6.84413703889377,21.9863416873291,5.17952165305558,243685.968135178,1262176.74850197
46,3.96726488046271,7.11012755224798,28.2077593336437,4.45640311402582,249952.379047602,1113888.5603459,3.96726488046271,7.11012755224798,28.2077593336437,4.45640311402582,249952.379047602,1113888.5603459
47,3.35507791451447,7.36897097780377,24.7234717803275,5.40282381320428,230226.55663932,1243873.52264294,3.35507791451447,7.36897097780377,24.7234717803275,5.40282381320428,230226.55663932,1243873.52264294
48,3.78952950630295,7.40202718569262,28.0502004266388,4.17104578075265,267052.585585599,1113888.5603459,3.78952950630295,7.40202718569262,28.0502004266388,4.17104578075265,267052.585585599,1113888.5603459
49,3.98423834617752,6.16625537137922,24.5678311029722,5.36544637122672,214776.9614664,1152374.268523,3.98423834617752,6.16625537137922,24.5678311029722,5.36544637122672,214776.9614664,1152374.268523
50,3.41009432267337,7.46251050977584,25.447864722277,5.22643818849449,234225.218784047,1224163.62816142,3.41009432267337,7.46251050977584,25.447864722277,5.22643818849449,234225.218784047,1224163.62816142
51,3.63114872156356,7.43899950409728,27.0121135390148,3.97133835316978,283955.282709431,1127682.50480913,3.63114872156356,7.43899950409728,27.0121135390148,3.97133835316978,283955.282709431,1127682.50480913
52,3.34417718706413,7.39299098025137,24.7234717803275,5,252435.349700393,1262176.74850197,3.34417718706413,7.39299098025137,24.7234717803275,5,252435.349700393,1262176.74850197
53,3.4547768804513,7.3659936959381,25.447864722277,5.67602591792657,255470.09160936,1450054.8612298,3.4547768804513,7.3659936959381,25.447864722277,5.67602591792657,255470.09160936,1450054.8612298
54,2.99894844731245,6.76924735740983,20.3006238519782,4.94673416303061,255153.543106245,1262176.74850197,2.99894844731245,6.76924735740983,20.3006238519782,4.94673416303061,255153.543106245,1262176.74850197
55,4.61355894727731,6.92494004663026,31.94861911149,4.52222222222222,248297.065279075,1122854.5063176,4.61355894727731,6.92494004663026,31.94861911149,4.52222222222222,248297.065279075,1122854.5063176
56,3.63994994840041,7.54958131274561,27.4800981097731,5.18134715025907,266229.631104786,1379428.14043931,3.63994994840041,7.54958131274561,27.4800981097731,5.18134715025907,266229.631104786,1379428.14043931
57,3.69880067317998,7.40202718569262,27.3786231373364,5.91136663291745,250853.202492095,1482885.25097225,3.69880067317998,7.40202718569262,27.3786231373364,5.91136663291745,250853.202492095,1482885.25097225
58,3.98181507423411,7.11012755224798,28.3112130672683,5.55278372505008,267052.585585599,1482885.25097225,3.98181507423411,7.11012755224798,28.3112130672683,5.55278372505008,267052.585585599,1482885.25097225
59,4.05251425910837,6.96055770075192,28.2077593336437,4.65302046929606,276299.456529993,1285627.02688943,4.05251425910837,6.96055770075192,28.2077593336437,4.65302046929606,276299.456529993,1285627.02688943
60,3.41465633783663,6.39657483669759,21.8421048065757,5.32398129592518,206500.392623764,1099404.22793013,3.41465633783663,6.39657483669759,21.8421048065757,5.32398129592518,206500.392623764,1099404.22793013
61,3.4379588299088,7.40202718569262,25.447864722277,6.38955582232893,238812.248772474,1525904.19458763,3.4379588299088,7.40202718569262,25.447864722277,6.38955582232893,238812.248772474,1525904.19458763
62,3.30456203932708,7.53249669302166,24.8916026331161,4.67268659523588,278088.693048379,1299421.30829383,3.30456203932708,7.53249669302166,24.8916026331161,4.67268659523588,278088.693048379,1299421.30829383
